ALICE'S ADVENTURES IN WONDERLAND	Alicia en el país de las maravillas	ALICE NEL PAESE DELLE MERAVIGLIE	Alice no País das Maravilhas	Alice au pays des merveilles	Alice’s Abenteuer im Wunderland
Lewis Carroll	Lewis Carroll	Lewis Carroll	Lewis Carroll	Lewis Carroll	Lewis Carroll
CHAPTER I Down the Rabbit-Hole	Capítulo 1 EN LA MADRIGUERA DEL CONEJO	I	Capítulo I	CHAPITRE PREMIER.	Erstes Kapitel – Hinunter in den Kaninchenbau.
Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, 'and what is the use of a book,' thought Alice 'without pictures or conversation?'	Alicia empezaba ya a cansarse de estar sentada con su hermana a la orilla del río, sin tener nada que hacer: había echado un par de ojeadas al libro que su hermana estaba leyendo, pero no tenía dibujos ni diálogos.	NELLA CONIGLIERA	Descendo a Toca do Coelho	AU FOND DU TERRIER.	Alice fing an sich zu langweilen;
So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.	«¿Y de qué sirve un libro sin dibujos ni diálogos?», se preguntaba Alicia.	Alice cominciava a sentirsi assai stanca di sedere sul poggetto accanto a sua sorella, senza far niente:	Alice estava começando a ficar muito cansada de sentar-se ao lado de sua irmã no banco e de não ter nada para fazer: uma ou duas vezes havia espiado o livro que a irmã estava lendo, mas não havia imagens nem diálogos nele, 'e para que serve um livro', pensou Alice, 'sem imagens nem diálogos?	Alice, assise auprès de sa sœur sur le gazon, commençait à s’ennuyer de rester là à ne rien faire ;	sie saß schon lange bei ihrer Schwester am Ufer und hatte nichts zu tun.
There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, 'Oh dear! Oh dear! I shall be late!' (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.	Así pues, estaba pensando (y pensar le costaba cierto esfuerzo, porque el calor del día la había dejado soñolienta y atontada) si el placer de tejer una guirnalda de margaritas la compensaría del trabajo de levantarse y coger las margaritas, cuando de pronto saltó cerca de ella un Conejo Blanco de ojos rosados.	aveva una o due volte data un'occhiata al libro che la sorella stava leggendo, ma non v'erano nè dialoghi nè figure, — e a che serve un libro, pensò Alice, — senza dialoghi nè figure?	'	une ou deux fois elle avait jeté les yeux sur le livre que lisait sa sœur ;	Das Buch, das ihre Schwester las, gefiel ihr nicht;
In another moment down went Alice after it, never once considering how in the world she was to get out again.	No había nada muy extraordinario en esto, ni tampoco le pareció a Alicia muy extraño oír que el conejo se decía a sí mismo: «¡Dios mío! ¡Dios mío! ¡Voy a llegar tarde!» (Cuando pensó en ello después, decidió que, desde luego, hubiera debido sorprenderla mucho, pero en aquel momento le pareció lo más natural del mundo).	E si domandava alla meglio, (perchè la canicola l'aveva mezza assonnata e istupidita), se per il piacere di fare una ghirlanda di margherite mettesse conto di levarsi a raccogliere i fiori, quand'ecco un coniglio bianco dagli occhi rosei passarle accanto, quasi sfiorandola.	Então, ela pensava consigo mesma (tanto quanto podia, uma vez que o dia quente a fazia sentir-se sonolenta e letárgica) se o prazer de fazer uma coroa de margaridas valeria o trabalho de se levantar e apanhá-las, quando repentinamente um Coelho Branco com olhos rosados passou correndo perto dela.	mais quoi !	denn es waren weder Bilder noch Gespräche darin.
The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.	Pero cuando el conejo se sacó un reloj de bolsillo del chaleco, lo miró y echó a correr, Alicia se levantó de un salto, porque comprendió de golpe que ella nunca había visto un conejo con chaleco, ni con reloj que sacarse de él, y, ardiendo de curiosidad, se puso a correr tras el conejo por la pradera, y llegó justo a tiempo para ver cómo se precipitaba en una madriguera que se abría al pie del seto.	Non c'era troppo da meravigliarsene, nè Alice pensò che fosse troppo strano sentir parlare il Coniglio, il quale diceva fra se:	Não havia nada de tão extraordinário nisso;	pas d’images, pas de dialogues !	»Und was nützen Bücher,« dachte Alice, »ohne Bilder und Gespräche ?«
Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.	Un momento más tarde, Alicia se metía también en la madriguera, sin pararse a considerar cómo se las arreglaría después para salir.	“Oimè!	nem Alice achou assim tão fora do normal ouvir o Coelho dizer para si mesmo: —'Oh, céus!	« La belle avance, » pensait Alice, « qu’un livre sans images, sans causeries !	Sie überlegte sich eben, (so gut es ging, denn sie war schläfrig und dumm von der Hitze,) ob es der Mühe wert sei aufzustehen und Gänseblümchen zu pflücken, um eine Kette damit zu machen, als plötzlich ein weißes Kaninchen mit roten Augen dicht an ihr vorbeirannte.
First, she tried to look down and make out what she was coming to, but it was too dark to see anything	Al principio, la madriguera del conejo se extendía en línea recta como un túnel, y después torció bruscamente hacia abajo, tan bruscamente que Alicia no tuvo siquiera tiempo de pensar en detenerse y se encontró cayendo por lo que parecía un pozo muy profundo.	oimè!	Oh, céus!	»	Dies war grade nicht sehr merkwürdig;
; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs.	O el pozo era en verdad profundo, o ella caía muy despacio, porque Alicia, mientras descendía, tuvo tiempo sobrado para mirar a su alrededor y para preguntarse qué iba a suceder después.	ho fatto tardi!	Irei me atrasar!' (quando refletiu sobre isso depois, ocorreu-lhe que deveria ter reparado nisso, mas à hora tudo lhe pareceu bastante natural);	Elle s’était mise à réfléchir, (tant bien que mal, car la chaleur du jour l’endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout à coup un lapin blanc aux yeux roses passa près d’elle.	Alice fand es auch nicht sehr außerordentlich, daß sie das Kaninchen sagen hörte: »O weh, o weh!
