Анна Каренина	Ana Karenina	Anna Karenina	Anna Karenina	Anna Karenina
Толстой Лев Николаевич	León Tolstoi	Leo Tolstoy	Lev Tolstoj	Lev Tolstoj
I	I	CHAPTER I	I	1.
Все счастливые семьи похожи друг на друга, каждая несчастливая семья несчастлива по-своему.	Todas las familias felices se parecen unas a otras; pero cada familia infeliz tiene un motivo especial para sentirse desgraciada.	ALL HAPPY FAMILIES resemble one another, but each unhappy family is unhappy in its own way.	Tutte le famiglie felici sono simili le une alle altre;	Alle glücklichen Familien sind einander ähnlich; aber jede unglückliche Familie ist auf ihre besondere Art unglücklich.
Все смешалось в доме Облонских.	En casa de los Oblonsky andaba todo trastrocado.	Everything was upset in the Oblonskys' house.	ogni famiglia infelice è infelice a modo suo.	Der ganze Haushalt der Familie Oblonski war in Unordnung geraten.
Жена узнала, что муж был в связи с бывшею в их доме француженкою-гувернанткой, и объявила мужу, что не может жить с ним в одном доме.	La esposa acababa de enterarse de que su marido mantenía relaciones con la institutriz francesa y se había apresurado a declararle que no podía seguir viviendo con él.	The wife had discovered an intrigue between her husband and their former French governess, and declared that she would not continue to live under the same roof with him.	Tutto era sottosopra in casa Oblonskij.	Die Hausfrau hatte erfahren, daß ihr Mann mit einer französischen Gouvernante, die sie früher im Hause gehabt hatten, ein Verhältnis unterhielt, und hatte ihm erklärt, sie könne nicht länger mit ihm unter einem Dache wohnen.
Положение это продолжалось уже третий день и мучительно чувствовалось и самими супругами, и всеми членами семьи, и домочадцами.	Semejante situación duraba ya tres días y era tan dolorosa para los esposos como para los demás miembros de la familia.	This state of things had now lasted for three days, and not only the husband and wife but the rest of the family and the whole household suffered from it.	La moglie era venuta a sapere che il marito aveva una relazione con la governante francese che era stata presso di loro, e aveva dichiarato al marito di non poter più vivere con lui nella stessa casa.	Drei Tage schon währte nun dieser Zustand, und er wurde sowohl von den Ehegatten selbst wie auch von den übrigen Familienmitgliedern und dem Hausgesinde als eine Qual empfunden.
Все члены семьи и домочадцы чувствовали, что нет смысла в их сожительстве и что на каждом постоялом дворе случайно сошедшиеся люди более связаны между собой, чем они, члены семьи и домочадцы Облонских.	Todos, incluso los criados, sentían la íntima impresión de que aquella vida en común no tenía ya sentido y que, incluso en una posada, se encuentran más unidos los huéspedes de lo que ahora se sentían ellos entre sí.	They all felt that there was no sense in their living together, and that any group of people who had met together by chance at an inn would have had more in common than they.	Questa situazione durava già da tre giorni ed era sentita tormentosamente dagli stessi coniugi e da tutti i membri della famiglia e dai domestici.	Alle Familienmitglieder und das Hausgesinde hatten das Gefühl, daß ihr Zusammenleben gar keinen Sinn mehr habe und daß in jeder Herberge die Leute, die sich dort zufällig zusammenfänden, in engerer Beziehung untereinander stünden als sie, die Mitglieder und das Gesinde der Familie Oblonski.
Жена не выходила из своих комнат, мужа третий день не было дома.	La mujer no salía de sus habitaciones; el marido no comía en casa desde hacía tres días; los niños corrían libremente de un lado a otro sin que nadie les molestara.	The wife kept to her own rooms, the husband stopped away from home all day; the children ran about all over the house uneasily, the English governess quarrelled with the housekeeper and wrote to a friend asking if she could find her another situation; the cook had gone out just at dinner-time the day before and had not returned; and the kitchen-maid and coachman had given notice	Tutti i membri della famiglia e i domestici sentivano che non c’era senso nella loro convivenza, e che della gente incontratasi per caso in una qualsiasi locanda sarebbe stata più legata fra di sé che non loro, membri della famiglia e domestici degli Oblonskij.	Die Hausfrau verließ ihr Zimmer nicht;
Дети бегали по всему дому, как потерянные; англичанка поссорилась с экономкой и написала записку приятельнице, прося приискать ей новое место; повар ушел еще вчера со двора, во время обеда; черная кухарка и кучер просили расчета.	La institutriz inglesa había tenido una disputa con el ama de llaves y escribió a una amiga suya pidiéndole que le buscase otra colocación; el cocinero se había ido dos días antes, precisamente a la hora de comer; y el cochero y la ayudante de cocina manifestaron que no querían continuar prestando sus servicios allí y que sólo esperaban que les saldasen sus haberes para irse.	.	La moglie non usciva dalle sue stanze;	der Hausherr war zwei Tage lang nicht nach Hause gekommen.
На третий день после ссоры князь Степан Аркадьич Облонский -- Стива, как его звали в свете, -- в обычный час, то есть в восемь часов утра, проснулся не в спальне жены, а в своем кабинете, на сафьянном диване...	El tercer día después de la escena tenida con su mujer, el príncipe Esteban Arkadievich Oblonsky –Stiva, como le llamaban en sociedad–, al despertar a su hora de costumbre, es decir, a las ocho de la mañana, se halló, no en el dormitorio conyugal, sino en su despacho, tendido sobre el diván de cuero.	On the third day after his quarrel with his wife, Prince Stephen Arkadyevich Oblonsky – Steve, as he was called in his set in Society – woke up at his usual time, eight o'clock, not in his wife's bedroom but on the morocco leather-covered sofa in his study.	il marito era già il terzo giorno che non rincasava.	Die Kinder liefen im ganzen Hause wie verloren umher;
